DAP,Reaction,Active_In,Flux_Value
8,cpTransport_C00077[K],O2_only,0.00000063
8,cpTransport_C00129[K],O2_only,0.00000127
8,cpTransport_MC00931[K],O2_only,0.00000001
8,cpTransport_MC00938[K],O2_only,0.00000023
8,cpTransport_MC00940[K],O2_only,0.00000010
8,cpTransport_MC00942[K],O2_only,0.00000035
8,cxTransport_C00010[K],O2_only,-0.00000127
8,cxTransport_C00026[K],O2_only,-0.00000127
8,cxTransport_C00036[K],O2_only,0.00000127
8,cxTransport_C00149[K],O2_only,-0.00000127
8,cxTransport_C00332[K],O2_only,-0.00000127
8,cxTransport_C00527[K],O2_only,0.00000127
8,cxTransport_C00894[K],O2_only,0.00000127
10,16:0-18:1-PGdegradation[K],WT_only,0.00000001
10,16:0/18:3-MGDGdegradation[K],WT_only,0.00000122
10,18:0/18:0-PCdegradation[K],WT_only,0.00000002
10,18:0/18:0-PEdegradation[K],WT_only,-0.00000002
10,18:1/18:1-DGDGdegradation[K],WT_only,0.00000003
10,18:2/18:2-DGDGdegradation[K],WT_only,0.00000022
10,18:2/18:2-MGDGdegradation[K],WT_only,0.00000022
10,Exchange_180PE[K,L],WT_only,-0.00000004
10,Exchange_181PE[K,L],WT_only,-0.00000024
10,MR00348[K,p],WT_only,0.00000014
10,MR00559[K,p],WT_only,-0.00000017
10,MR01121[K,p],WT_only,0.00001372
10,MR01123[K,p],WT_only,0.00001372
10,MR01141[K,c],WT_only,-0.00000002
10,MR01142[K,c],WT_only,0.00000071
10,MR01157[K,p],WT_only,0.00000017
10,MR01168[K,c],WT_only,0.00000071
10,MR01169[K,c],WT_only,-0.00000002
10,MR01238[K,c],WT_only,-0.00000018
10,MR01238[K,p],WT_only,0.00000017
10,MR01276[K,c],WT_only,0.00000071
10,MR01285[K,p],WT_only,0.00000122
10,PhloemImport_C00055_I[K,c],WT_only,0.00000182
10,PhloemImport_C00144_I[K,c],WT_only,0.00000103
10,PhloemTransport_C00055[K,c],WT_only,0.00000182
10,PhloemTransport_C00144[K,c],WT_only,0.00000103
10,R00093[K,p],WT_only,0.00039249
10,R00253[K,p],WT_only,0.00039263
10,R00299[K,c],WT_only,0.15212199
10,R00330[K,c],WT_only,0.00000103
10,R00332[K,c],WT_only,0.00000103
10,R00570[K,p],WT_only,-0.00000014
10,R00573[K,p],WT_only,0.00000014
10,R00734[K,c],WT_only,0.00000030
10,R00771[K,c],WT_only,0.15212199
10,R00859[K,p],WT_only,-0.00000005
10,R00946[K,p],WT_only,-0.00000014
10,R01217[K,p],WT_only,-0.00000014
10,R01777[K,p],WT_only,0.00000005
10,R02103[K,c],WT_only,0.00010564
10,R02423[K,x],WT_only,0.00010564
10,R02521[K,c],WT_only,0.00000030
10,R02734[K,p],WT_only,-0.00000005
10,R03260[K,p],WT_only,-0.00000005
10,R03968[K,p],WT_only,0.07717384
10,R04001[K,c],WT_only,0.07717384
10,R04365[K,p],WT_only,-0.00000005
10,R04475[K,p],WT_only,0.00000005
10,R05554[K,x],WT_only,0.00010564
10,cpTransport_C00021[K],WT_only,0.00024366
10,cpTransport_C00073[K],WT_only,-0.00000014
10,cpTransport_C00075[K],WT_only,0.00000014
10,cpTransport_C00544[K],WT_only,0.00000030
10,cpTransport_C02631[K],WT_only,0.07717384
10,cpTransport_MC00925[K],WT_only,0.00000122
10,cpTransport_MC00928[K],WT_only,0.00000022
10,cpTransport_MC00937[K],WT_only,0.00000003
10,cpTransport_MC00938[K],WT_only,0.00000022
10,cpTransport_MC00947[K],WT_only,-0.00000017
10,cxTransport_C00366[K],WT_only,0.00010564
10,Exchange_160PG[K,L],O2_only,-0.00000001
10,Exchange_180PC[K,L],O2_only,-0.00000004
10,Exchange_181DGDG[K,L],O2_only,-0.00000007
10,Exchange_182DGDG[K,L],O2_only,-0.00000045
10,Exchange_182MGDG[K,L],O2_only,-0.00000046
10,MR01084[K,c],O2_only,0.00000007
10,MR01098[K,c],O2_only,0.00000007
10,MR01100[K,c],O2_only,0.00000007
10,MR01127[K,p],O2_only,0.00001457
10,MR01129[K,p],O2_only,0.00001457
10,MR01161[K,p],O2_only,-0.00000018
10,PhloemImport_C00015_I[K,c],O2_only,0.00000185
10,PhloemImport_C00044_I[K,c],O2_only,0.00000105
10,PhloemTransport_C00015[K,c],O2_only,0.00000185
10,PhloemTransport_C00044[K,c],O2_only,0.00000105
10,R00192[K,c],O2_only,0.00024770
10,R00248[K,p],O2_only,0.00039929
10,R00342[K,x],O2_only,-0.00010742
10,R00367[K,p],O2_only,0.00000014
10,R00610[K,p],O2_only,0.00000014
10,R00734[K,p],O2_only,0.00000031
10,R00756[K,c],O2_only,1.95438114
10,R00760[K,c],O2_only,2.10694234
10,R02037[K,c],O2_only,0.00000070
10,R02103[K,x],O2_only,0.00010742
10,R02326[K,p],O2_only,-0.00000014
10,R02422[K,x],O2_only,0.00010742
10,R02521[K,p],O2_only,0.00000031
10,R06868[K,c],O2_only,0.00000070
10,R06869[K,c],O2_only,0.00000070
10,R07558[K,p],O2_only,-0.00000017
10,R09093[K,p],O2_only,0.00000014
10,R10170[K,p],O2_only,0.08097796
10,cpTransport_C00082[K],O2_only,-0.00000031
10,cpTransport_C00458[K],O2_only,0.00000014
10,cpTransport_C00510[K],O2_only,0.00000007
10,cpTransport_C04411[K],O2_only,0.08097796
10,cxTransport_C00036[K],O2_only,0.00010742
10,cxTransport_C00149[K],O2_only,-0.00010742
10,cxTransport_C00385[K],O2_only,0.00010742
12,16:0/16:0-PCdegradation[K],WT_only,-0.00000008
12,16:0/18:0-DGDGdegradation[K],WT_only,-0.00000038
12,16:0/18:2-PCdegradation[K],WT_only,0.00000070
12,16:0/18:2-PEdegradation[K],WT_only,-0.00000070
12,18:0/18:0-DGDGdegradation[K],WT_only,0.00000030
12,18:0/18:0-MGDGdegradation[K],WT_only,0.00000001
12,18:1/18:1-DGDGdegradation[K],WT_only,0.00000004
12,18:3/18:3-PCdegradation[K],WT_only,0.00000041
12,18:3/18:3-PEdegradation[K],WT_only,-0.00000041
12,Exchange_182DGDG[K,L],WT_only,-0.00000051
12,MR01130[K,p],WT_only,0.00001568
12,MR01136[K,c],WT_only,-0.00000070
12,MR01137[K,c],WT_only,0.00000076
12,MR01148[K,p],WT_only,-0.00000038
12,MR01149[K,p],WT_only,0.00000030
12,MR01161[K,p],WT_only,-0.00000020
12,MR01163[K,c],WT_only,-0.00000070
12,MR01167[K,c],WT_only,0.00000076
12,MR01275[K,c],WT_only,-0.00000008
12,MR01282[K,c],WT_only,0.00000117
12,PhloemImport_C00075_I[K,c],WT_only,0.00000210
12,PhloemImport_C00407[K,c],WT_only,0.00000068
12,PhloemTransport_C00075[K,c],WT_only,0.00000210
12,PhloemTransport_C00407[K,c],WT_only,0.00000068
12,R00093[K,p],WT_only,0.00045416
12,R00200[K,c],WT_only,0.17551606
12,R00253[K,p],WT_only,0.00045416
12,R00367[K,p],WT_only,0.00000016
12,R00610[K,p],WT_only,0.00000016
12,R00936[K,p],WT_only,0.00000016
12,R00964[K,p],WT_only,0.00000016
12,R01385[K,c],WT_only,0.00013419
12,R01663[K,p],WT_only,0.00000016
12,R01665[K,p],WT_only,-0.00000016
12,R02094[K,p],WT_only,0.00000016
12,R02097[K,p],WT_only,0.00000016
12,R02101[K,p],WT_only,0.00000016
12,R02326[K,p],WT_only,-0.00000016
12,R02422[K,x],WT_only,0.00012218
12,R02636[K,p],WT_only,0.00013419
12,R09093[K,p],WT_only,0.00000016
12,cpTransport_C00251[K],WT_only,0.00004981
12,cpTransport_C00458[K],WT_only,0.00000016
12,cpTransport_C00617[K],WT_only,0.00013419
12,cpTransport_C00935[K],WT_only,0.00013419
12,cpTransport_MC00931[K],WT_only,0.00000001
12,cpTransport_MC00933[K],WT_only,-0.00000038
12,cpTransport_MC00937[K],WT_only,0.00000004
12,cpTransport_MC00940[K],WT_only,0.00000030
12,16:0/18:0-MGDGdegradation[K],O2_only,-0.00000035
12,18:2/18:2-PCdegradation[K],O2_only,0.00000032
12,18:2/18:2-PEdegradation[K],O2_only,-0.00000032
12,18:3/18:2-DGDGdegradation[K],O2_only,0.00000047
12,Exchange_160PC[K,L],O2_only,-0.00000050
12,Exchange_180DGDG[K,L],O2_only,-0.00000020
12,Exchange_180MGDG[K,L],O2_only,-0.00000037
12,Exchange_180PC[K,L],O2_only,-0.00000075
12,Exchange_181DGDG[K,L],O2_only,-0.00000007
12,Exchange_183PC[K,L],O2_only,-0.00000076
12,MR00104[K,p],O2_only,0.00000063
12,MR01108[K,p],O2_only,-0.00000019
12,MR01110[K,p],O2_only,0.00000019
12,MR01122[K,p],O2_only,0.00001423
12,MR01124[K,p],O2_only,0.00001423
12,MR01131[K,p],O2_only,-0.00000019
12,MR01135[K,c],O2_only,-0.00000032
12,MR01145[K,p],O2_only,-0.00000019
12,MR01146[K,p],O2_only,0.00000019
12,MR01157[K,p],O2_only,0.00000019
12,MR01166[K,c],O2_only,-0.00000032
12,PhloemImport_C00015_I[K,c],O2_only,0.00000180
12,PhloemTransport_C00015[K,c],O2_only,0.00000180
12,R00014[K,p],O2_only,0.00000063
12,R00248[K,p],O2_only,0.00041910
12,R01473[K,c],O2_only,0.00012387
12,R01549[K,c],O2_only,0.16101335
12,R01714[K,p],O2_only,0.00004598
12,R02199[K,p],O2_only,-0.00000063
12,R02423[K,x],O2_only,0.00011279
12,R03460[K,p],O2_only,0.00004598
12,R04673_mod[K,p],O2_only,0.00000063
12,R05070[K,p],O2_only,0.00000063
12,R05554[K,x],O2_only,0.00011279
12,cpTransport_C00407[K],O2_only,-0.00000063
12,cpTransport_C03175[K],O2_only,0.00004598
12,cpTransport_MC00922[K],O2_only,-0.00000035
12,cpTransport_MC00997[K],O2_only,0.00000047
15,16:0-18:1-PGdegradation[K],WT_only,0.00000003
15,16:0/16:0-DGDGdegradation[K],WT_only,-0.00000060
15,16:0/18:1-PEdegradation[K],WT_only,-0.00000003
15,16:0/18:2-DGDGdegradation[K],WT_only,0.00000113
15,16:0/18:3-MGDGdegradation[K],WT_only,0.00000032
15,16:0/18:3-PEdegradation[K],WT_only,0.02187667
15,18:0/18:0-PCdegradation[K],WT_only,0.00000005
15,18:0/18:0-PEdegradation[K],WT_only,-0.00000005
15,18:1-18:1-PGdegradation[K],WT_only,-0.00000001
15,18:2/18:2-MGDGdegradation[K],WT_only,0.00000057
15,ExB_C02094[K],WT_only,0.00000001
15,Exchange_181DGDG[K,L],WT_only,-0.00000017
15,Exchange_181MGDG[K,L],WT_only,-0.00000014
15,Exchange_183PE[K,L],WT_only,0.02187470
15,MR00422[K,p],WT_only,0.00056522
