Reaction,DAP,WT_vmin,O2_vmin,WT_vmax,O2_vmax,vmin_diff,vmax_diff
ExB_C00047[K],30,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Exchange_C00047[K,L],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Exchange_C00047[K,L],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Exchange_C00047[K,L],10,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Exchange_C00047[K,L],12,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Exchange_C00047[K,L],15,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Exchange_C00047[K,L],18,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Exchange_C00047[K,L],22,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Exchange_C00047[K,L],30,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00449[K],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00449[K],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00449[K],10,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00449[K],12,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00449[K],15,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00449[K],18,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00449[K],22,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
cpTransport_C00449[K],30,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Seed_Biomass[K],6,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Seed_Biomass[K],8,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Seed_Biomass[K],10,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Seed_Biomass[K],12,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Seed_Biomass[K],15,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Seed_Biomass[K],18,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Seed_Biomass[K],22,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
Seed_Biomass[K],30,0.00000000,0.00000000,1000.00000000,1000.00000000,0.00000000,0.00000000
