Reaction,WT_DAP6,O2_DAP6,WT_DAP8,O2_DAP8,WT_DAP10,O2_DAP10,WT_DAP12,O2_DAP12,WT_DAP15,O2_DAP15,WT_DAP18,O2_DAP18,WT_DAP22,O2_DAP22,WT_DAP30,O2_DAP30
PhloemImport_C00082[K,c],0.00000137,0.00000162,0.00000156,0.00000151,0.00000173,0.00000176,0.00000201,0.00000185,0.00000443,0.00000367,0.00000341,0.00000445,0.00000017,0.00000000,0.00000008,0.00000003
PhloemImport_C00089_I[K,c],1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000
PhloemImport_C00095[K,c],0.00000000,10.57622908,14.19050961,12.26243718,0.00000000,0.00000000,0.00000000,0.00000000,20.47690434,12.80720176,23.94940077,0.00000000,24.17989327,16.46278550,28.24632140,33.16576617
PhloemImport_C00097[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.00000012,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00105_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00105_I[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.02920632,0.00000000
PhloemImport_C00112_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00112_I[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000193,0.00000221,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00123[K,c],999.92444278,999.92419234,999.92762186,999.91374154,999.92282616,999.91902204,999.92190448,999.92665473,999.82828370,999.83961811,999.92712467,999.85500270,999.92987767,998.52992253,999.94904994,1000.00000000
PhloemImport_C00130_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00130_I[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00135[K,c],1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000,1000.00000000
PhloemImport_C00137_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00137_I[K,c],0.00022142,0.00000000,0.00020912,0.00024468,0.00023204,0.00023595,0.00026837,0.00024774,0.00059245,0.00000000,0.00045601,0.00000000,0.00013312,0.00013135,0.00006476,0.00002205
PhloemImport_C00144_E[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00144_I[K,c],0.00000011,0.00000000,0.00000000,0.00000109,0.00000103,0.00000000,0.00000120,0.00000110,0.00000000,0.00000219,0.00000203,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00152[K,c],0.00000949,0.00000929,0.00000896,0.00001049,0.00000995,0.00001011,0.00001150,0.00001062,0.00002539,0.00002103,0.00001954,0.00002554,0.00000571,0.00000563,0.00000278,0.00000094
PhloemImport_C00188[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00238[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00283[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00288[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00305[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00407[K,c],0.00000056,0.00000055,0.00000053,0.00000062,0.00000059,0.00000060,0.00000068,0.00000000,0.00000150,0.00000124,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00698[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C00954[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemImport_C01330[K,c],0.00001197,0.00001171,0.00001130,0.00001322,0.00001254,0.00001275,0.00001450,0.00001339,0.00003202,0.00002652,0.00002464,0.00003220,0.00000719,0.00000710,0.00000350,0.00000119
PhloemImport_C03172[K,c],0.00023213,0.00022807,0.00021750,0.00025746,0.00024416,0.00024821,0.00028238,0.00025752,0.00062304,0.00051599,0.00047936,0.00062679,0.00013837,0.00013653,0.00006731,0.00002292
PhloemImport_C14818[K,c],0.00000038,0.00000037,0.00000036,0.00000042,0.00000040,0.00000041,0.00000046,0.00000043,0.00000102,0.00000085,0.00000079,0.00000103,0.00000023,0.00000023,0.00000011,0.00000004
PhloemTransport_C00001[K,c],0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00002[K,c],0.00000000,0.00000000,0.00000000,0.00012257,0.00000000,0.00000000,0.00000000,0.00000000,0.00056681,0.00024585,0.00000000,0.00029923,0.00000000,0.00000000,0.00000000,0.00000000
PhloemTransport_C00008[K,c],0.00011092,0.00010858,0.00010478,0.00000000,0.00011624,0.00011820,0.00013444,0.00012411,0.00000000,0.00000000,0.00022901,0.00000000,0.00000000,0.00000000,0.04676864,0.00001536
PhloemTransport_C00015[K,c],0.00000000,0.00000000,0.00000000,0.00000192,0.00000000,0.00000185,0.00000000,0.00000180,0.00000000,0.00000356,0.00000000,0.00000180,0.00000000,1.50999368,0.00000000,0.00000000
