Reaction,GSM_Match,Screen_Type,Function,Fold_Change,Has_GPR,GPR_Type,N_Genes,Gene_IDs,Pathway,GPR_Rule,Category
"41,R00512[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"42,R00883[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"43,R01015[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"44,R00844[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"45,R02092[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"46,PhloemImport_C00055_E[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"47,PhloemImport_C00130_E[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"48,MR00348[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"49,R02740[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"5,R00282[K",NOT_FOUND,1.463910,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
50,"R07509[K,m]",0.321486,,1,Yes,single_gene,1,GRMZM2G000531,Steroid biosynthesis,(GRMZM2G000531),Screening_Target
"51,PhloemTransport_C00015[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"52,PhloemTransport_C00002[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"53,R02738[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"54,R00211[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"55,PhloemTransport_C00063[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
"56,R00667[K",NOT_FOUND,0.321486,,1,No,none,0,No GPR,N/A,N/A,Screening_Target
