DAP,Reaction
18,PhloemTransport_C03172[K,c]
18,PhloemImport_C03172[K,c]
18,PhloemTransport_C00097[K,c]
18,PhloemImport_C00097[K,c]
18,PhloemTransport_C00135[K,c]
18,PhloemImport_C00135[K,c]
18,biooutseed[K]
18,R02020[K,c]
18,R01817[K,c]
18,R02167[K,c]
18,ExB_C14818[K]
18,ExB_C01330[K]
18,R03366[K,c]
18,ExB_C00811[K]
18,R06576[K,c]
18,R06572[K,c]
18,R02593[K,c]
18,ExB_C00148[K]
18,R02437[K,c]
18,R03014[K,c]
18,R02263[K,c]
18,R02260[K,c]
18,ExB_C00507[K]
18,ExB_C01019[K]
18,MR01324[K,c]
