Rank,Metabolite_ID,Metabolite_Name,Base_KEGG_ID,Compartment,Direction_in_O2,Consistency,DAPs_with_change,Mean_Abs_Diff,Max_Abs_Diff,Relevance_Weight,Composite_Score,Suggested_Strategy,Pathways,Diff_DAP6,Diff_DAP8,Diff_DAP10,Diff_DAP12,Diff_DAP15,Diff_DAP18,Diff_DAP22,Diff_DAP30
46,"C00631[K,c]",2-Phospho-D-glycerate [cyt],C00631,c,DECREASED,0.50000000,8,0.61496680,4.14743435,1.00000000,0.30748340,Reduce turnover (limit competing usage),Glycolysis,-0.05609675,0.03914733,0.00922166,-0.01551502,-0.13326003,0.29764781,4.14743435,-0.22141141
47,"C00197[K,c]",3-Phospho-D-glycerate [cyt],C00197,c,DECREASED,0.50000000,8,0.61496679,4.14743435,1.00000000,0.30748340,Reduce turnover (limit competing usage),Glycolysis,-0.05609675,0.03914733,0.00922166,-0.01551502,-0.13326003,0.29764781,4.14743435,-0.22141141
48,C00123[P],L-Leucine [],C00123,,DECREASED,0.62500000,8,0.19463084,1.39995514,2.50000000,0.30411069,Reduce turnover (limit competing usage),Amino_Acids,-0.00025044,-0.01388032,-0.00380412,0.00475025,0.01133441,-0.07212197,-1.39995514,0.05095006
49,"C00123[K,p]",L-Leucine [pla],C00123,p,INCREASED,0.62500000,8,0.19463084,1.39995514,2.50000000,0.30411069,Enhance turnover (increase supply/demand),Amino_Acids,0.00025044,0.01388032,0.00380412,-0.00475025,-0.01133441,0.07212197,1.39995514,-0.05095006
50,"C00013[K,c]",Diphosphate [cyt],C00013,c,DECREASED,0.62500000,8,0.41786433,1.60950229,1.00000000,0.26116521,Reduce turnover (limit competing usage),Other,-0.00018432,0.00153201,0.00015413,-0.00082726,-1.60950229,0.53069316,-1.19832510,-0.00169637
51,"C00006[K,c]",NADP+ [cyt],C00006,c,DECREASED,0.50000000,8,0.24535820,1.39261640,2.00000000,0.24535820,Reduce turnover (limit competing usage),Energy_Cofactors,-0.05764790,0.00850370,0.00054998,-0.00554394,-0.06920561,0.19565499,1.39261640,-0.23314310
52,"C00005[K,c]",NADPH [cyt],C00005,c,DECREASED,0.50000000,8,0.24535820,1.39261640,2.00000000,0.24535820,Reduce turnover (limit competing usage),Energy_Cofactors,-0.05764790,0.00850370,0.00054998,-0.00554394,-0.06920561,0.19565499,1.39261640,-0.23314310
53,"C00079[K,c]",L-Phenylalanine [cyt],C00079,c,DECREASED,0.50000000,8,0.18441961,1.42449871,2.50000000,0.23052451,Reduce turnover (limit competing usage),Amino_Acids,-0.00000003,0.00000019,0.00000002,-0.00000011,-0.00000054,0.00000075,1.42449871,-0.05085651
54,C00079[P],L-Phenylalanine [],C00079,,DECREASED,0.50000000,8,0.18441961,1.42449871,2.50000000,0.23052451,Reduce turnover (limit competing usage),Amino_Acids,-0.00000003,0.00000019,0.00000002,-0.00000011,-0.00000054,0.00000075,1.42449871,-0.05085651
55,"C00079[K,p]",L-Phenylalanine [pla],C00079,p,DECREASED,0.50000000,2,0.18441938,1.42449854,2.50000000,0.23052423,Reduce turnover (limit competing usage),Amino_Acids,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1.42449854,-0.05085651
56,"C00027[K,p]",C00027 [pla],C00027,p,INCREASED,0.62500000,8,0.35334823,2.64689344,1.00000000,0.22084265,Enhance turnover (increase supply/demand),Other,-0.00312106,0.02130684,0.00194241,-0.01293963,0.01989707,0.00849856,2.64689344,-0.11218687
57,"C00074[K,p]",Phosphoenolpyruvate [pla],C00074,p,INCREASED,0.62500000,8,0.16296218,1.10769531,2.00000000,0.20370273,Enhance turnover (increase supply/demand),Glycolysis,0.00408459,0.01900648,0.00893094,-0.00094578,-0.04220500,0.12072691,1.10769531,-0.00010247
58,"C00010[K,p]",CoA [pla],C00010,p,DECREASED,0.50000000,8,0.40150641,2.82329075,1.00000000,0.20075320,Reduce turnover (limit competing usage),Other,-0.00285318,0.03768716,0.00639583,-0.01859043,-0.07847295,0.12446913,2.82329075,-0.12029181
59,"C00095[K,B]",D-Fructose [B],C00095,B,DECREASED,0.62500000,8,0.30404655,1.75404206,1.00000000,0.19002909,Reduce turnover (limit competing usage),Other,-0.60701015,0.00000811,0.02330817,-0.04797057,-0.00002320,1.75404206,-0.00000040,-0.00000974
60,C00015[P],C00015 [],C00015,,INCREASED,1.00000000,6,0.18875058,1.50999368,1.00000000,0.18875058,Enhance turnover (increase supply/demand),Other,0.00000000,0.00000192,0.00000185,0.00000180,0.00000356,0.00000180,1.50999368,0.00000000
61,"C00002[K,p]",ATP [pla],C00002,p,DECREASED,0.50000000,8,0.18245519,1.15687410,2.00000000,0.18245519,Reduce turnover (limit competing usage),Energy_Cofactors,-0.00314589,0.02414521,0.00223708,-0.01449215,-0.04005852,0.10186475,1.15687410,-0.11682383
62,"C00008[K,p]",ADP [pla],C00008,p,DECREASED,0.50000000,8,0.18245513,1.15687389,2.00000000,0.18245513,Reduce turnover (limit competing usage),Energy_Cofactors,-0.00314587,0.02414519,0.00223710,-0.01449213,-0.04005841,0.10186467,1.15687389,-0.11682382
63,"C00081[K,c]",C00081 [cyt],C00081,c,INCREASED,0.71428571,7,0.20634135,0.71429622,1.00000000,0.14738668,Enhance turnover (increase supply/demand),Other,-0.06013646,0.02011205,0.00028741,0.16101292,0.42341551,0.71429622,0.00000000,-0.27147026
64,"C00105[K,c]",C00105 [cyt],C00105,c,INCREASED,0.71428571,7,0.20634135,0.71429598,1.00000000,0.14738668,Enhance turnover (increase supply/demand),Other,-0.06013646,0.02011207,0.00028755,0.16101305,0.42341545,0.71429598,0.00000000,-0.27147026
65,"C00299[K,c]",C00299 [cyt],C00299,c,INCREASED,0.71428571,7,0.20634135,0.71429598,1.00000000,0.14738668,Enhance turnover (increase supply/demand),Other,-0.06013646,0.02011207,0.00028755,0.16101305,0.42341545,0.71429598,0.00000000,-0.27147026
66,"C00104[K,c]",C00104 [cyt],C00104,c,INCREASED,0.71428571,7,0.20634135,0.71429622,1.00000000,0.14738668,Enhance turnover (increase supply/demand),Other,-0.06013646,0.02011205,0.00028741,0.16101292,0.42341551,0.71429622,0.00000000,-0.27147026
